26,065;28962;26,063
32,259;10363;31,633
33,242;11692;32,679
31,440;13452;31,211
25,214;29975;25,214
27,603;18490;27,563
31,025;20196;30,944
23,672;29985;23,672
30,637;18263;30,538
30,813;16407;30,683
28,841;19005;28,789
32,100;14211;31,768
24,190;29994;24,190
27,798;28579;27,795
31,601;13228;30,942
31,197;11951;30,765
30,342;19014;30,278
27,213;28952;27,212
27,328;20313;27,304
31,245;18424;31,158
27,850;21039;27,825
29,386;16386;29,312
32,052;15176;31,820
26,692;25037;26,688
29,159;19962;29,002
